                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1271,                 4.5811,                 1.7767,                0.04131,                0.11111,                0.03608,                 0.0091,                 1.9613,                 3.5038,                 1.8396,              8.335e-05,              8.335e-05,              8.335e-05
                      1,                 1.8799,                  2.844,                 1.6233,                 0.6827,                0.77037,                0.81202,                0.43408,                 1.5698,                  2.581,                 1.6005,             0.00018155,             0.00018155,             0.00018155
                      2,                 1.6791,                 1.7124,                 1.4153,                0.62018,                0.59783,                0.63126,                0.31204,                  1.671,                 1.8714,                 1.5175,             0.00027778,             0.00027778,             0.00027778
                      3,                 1.4883,                  1.416,                 1.3028,                0.85216,                 0.6143,                0.71295,                0.38208,                 1.5094,                 1.7663,                 1.4224,             0.00037202,             0.00037202,             0.00037202
                      4,                 1.5923,                 1.5091,                 1.3679,                0.71311,                 0.5754,                0.66459,                0.36221,                 1.6958,                 2.4396,                 1.5358,             0.00046429,             0.00046429,             0.00046429
                      5,                 1.5247,                 1.3857,                 1.2243,                0.36721,                0.61111,                 0.4779,                0.27693,                 1.8257,                 2.0019,                 1.6739,             0.00055457,             0.00055457,             0.00055457
                      6,                 1.4607,                 1.2501,                 1.2371,                0.75784,                0.70153,                0.77809,                0.42357,                  1.544,                 1.6329,                 1.3799,             0.00064287,             0.00064287,             0.00064287
                      7,                 1.4446,                 1.2622,                  1.277,                0.82387,                0.64787,                0.74204,                0.37374,                 1.5905,                 1.5164,                 1.4285,             0.00072919,             0.00072919,             0.00072919
                      8,                 1.4568,                 1.1579,                 1.2408,                0.60851,                0.67431,                0.66881,                0.32103,                 1.7022,                 1.6413,                 1.5656,             0.00081354,             0.00081354,             0.00081354
                      9,                 1.4813,                 1.1045,                   1.29,                0.55802,                0.66901,                0.59084,                0.32385,                 1.5211,                 4.1603,                 1.4593,              0.0008959,              0.0008959,              0.0008959
                     10,                 1.3553,                 1.0822,                 1.1753,                0.56118,                0.59921,                0.59658,                0.33264,                 1.5674,                 1.9016,                 1.7071,             0.00097628,             0.00097628,             0.00097628
                     11,                 1.4112,                 1.1949,                 1.2311,                0.62298,                0.33225,                0.41591,                0.19114,                 1.9457,                  3.827,                 1.9302,              0.0010547,              0.0010547,              0.0010547
                     12,                 1.4994,                0.99069,                 1.2665,                0.47598,                0.28571,                0.17018,                0.11753,                 2.6451,                 93.166,                 3.0118,              0.0011311,              0.0011311,              0.0011311
                     13,                 1.4283,                 1.1379,                 1.2301,                0.24967,                0.17857,                0.13488,                0.08123,                 2.7004,                 16.467,                 3.2309,              0.0012055,              0.0012055,              0.0012055
                     14,                 1.3476,                 1.2395,                 1.3143,                0.24967,                0.17857,                0.13488,                0.08123,                 2.7004,                 16.467,                 3.2309,               0.001278,               0.001278,               0.001278
                     15,                 1.4089,                 1.0684,                 1.2251,                0.18026,                   0.25,                0.11271,                0.05133,                 2.6642,                 16.546,                 3.8351,              0.0013485,              0.0013485,              0.0013485
                     16,                 1.5215,                 1.1827,                 1.2919,                0.42601,                0.42063,                0.35261,                0.20625,                  2.147,                 33.689,                 4.3618,              0.0014029,              0.0014029,              0.0014029
                     17,                 1.4664,                 1.3049,                 1.2635,                 0.6093,                0.47619,                0.53855,                0.30836,                  1.774,                 1.7309,                 2.2982,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3821,                   1.11,                 1.2467,                 0.6093,                0.47619,                0.53855,                0.30836,                  1.774,                 1.7309,                 2.2982,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4864,                 1.1093,                 1.2727,                0.67944,                0.64464,                0.63275,                0.37135,                 1.7883,                 1.6183,                 1.7856,              0.0013699,              0.0013699,              0.0013699
                     20,                   1.55,                 1.1331,                 1.2607,                0.47367,                0.50377,                  0.325,                0.20297,                 1.8054,                 25.794,                 1.7995,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4272,                 1.1169,                 1.3046,                0.40396,                0.39683,                0.24777,                0.13857,                 1.8591,                 38.338,                 2.0235,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3844,                 1.0269,                  1.269,                0.40396,                0.39683,                0.24777,                0.13857,                 1.8591,                 38.338,                 2.0235,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.4637,                 1.1156,                 1.2519,                0.40229,                0.45126,                0.36645,                 0.1945,                 1.9121,                  5.747,                 2.1665,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.5161,                 1.1731,                 1.2959,                0.19395,                0.29967,                0.13552,                0.07438,                 1.9715,                 42.389,                 2.2644,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4597,                 1.0607,                 1.3041,                0.37381,                0.46429,                0.39587,                0.21298,                 1.6913,                 3.5206,                 1.6672,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.5328,                 1.0418,                 1.2754,                0.37381,                0.46429,                0.39587,                0.21298,                 1.6913,                 3.5206,                 1.6672,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.5706,                  1.232,                 1.3551,                0.47509,                    0.5,                0.42181,                0.23546,                 1.6941,                 5.7398,                 1.6739,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.4425,                 1.0266,                 1.2464,                0.52437,                 0.6007,                0.44836,                0.25765,                 1.7445,                 3.6004,                 1.7038,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.4606,                0.99752,                  1.237,                0.48529,                0.54623,                0.51959,                0.30019,                 1.6579,                 1.8319,                 1.5693,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.4315,                 1.0411,                 1.2404,                0.48529,                0.54623,                0.51959,                0.30019,                 1.6579,                 1.8319,                 1.5693,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.4223,                  1.017,                 1.3082,                  0.499,                0.59524,                0.53664,                0.28602,                 1.7661,                 1.7944,                 1.6773,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.4486,                0.97506,                 1.3122,                0.65127,                0.57143,                0.63928,                0.35762,                 1.6561,                 1.3596,                 1.5812,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.3903,                 1.0015,                  1.277,                0.65473,                0.74912,                0.75868,                 0.4274,                 1.5937,                 1.1359,                 1.5062,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3465,                0.95179,                 1.3083,                0.65473,                0.74912,                0.75868,                 0.4274,                 1.5937,                 1.1359,                 1.5062,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3796,                0.99326,                  1.311,                0.74586,                0.83933,                0.78101,                0.38818,                 1.7824,                 1.4705,                 1.7253,              0.0011059,              0.0011059,              0.0011059
