epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3157,1.87595,4.52651,0.00828,0.0016,0.08333,0.02879,0.02275,1.70087,4.68476,0.0121,3.334e-05,3.334e-05,3.334e-05
2,38.6546,1.88946,4.60213,0.00797,0.0019,0.08333,0.02907,0.02294,1.54325,4.64056,0.0114,8.25248e-05,8.25248e-05,8.25248e-05
3,52.1589,1.81833,4.44861,0.0075,0.00263,0.10714,0.02976,0.02611,1.32524,4.5619,0.0092,0.000130719,0.000130719,0.000130719
4,63.6709,1.61766,4.33571,0.0066,0.00276,0.10714,0.03705,0.02962,1.13467,4.47897,0.00748,0.000177924,0.000177924,0.000177924
5,76.2713,1.58893,4.01129,0.00586,0.00494,0.18651,0.04705,0.03555,1.15294,4.28628,0.00761,0.000224138,0.000224138,0.000224138
6,88.68,1.58319,3.88577,0.00612,0.00812,0.29762,0.07461,0.03611,1.14389,4.1443,0.00749,0.000269362,0.000269362,0.000269362
7,100.822,1.58729,3.7812,0.00675,0.0096,0.35317,0.13338,0.0495,1.16469,4.12649,0.00773,0.000313596,0.000313596,0.000313596
8,112.311,1.66711,3.49646,0.00603,0.01062,0.4246,0.12986,0.06086,1.1298,4.1039,0.00765,0.00035684,0.00035684,0.00035684
9,125.727,1.54557,3.37953,0.00545,0.0125,0.53175,0.21357,0.07901,1.04723,4.04148,0.00689,0.000399093,0.000399093,0.000399093
10,138.263,1.61829,3.18215,0.00575,0.01263,0.55952,0.25957,0.10897,1.11523,3.91426,0.00767,0.000440356,0.000440356,0.000440356
11,149.601,1.54587,3.11318,0.00619,0.01532,0.70635,0.33321,0.14848,1.09061,3.84003,0.00712,0.000480629,0.000480629,0.000480629
12,161.546,1.52464,2.9724,0.00578,0.01782,0.8254,0.50281,0.20368,1.10944,3.85016,0.00722,0.000519912,0.000519912,0.000519912
13,173.301,1.54168,3.01739,0.00542,0.02007,0.9246,0.49123,0.22424,1.23545,3.64249,0.00862,0.000558205,0.000558205,0.000558205
14,184.761,1.5202,2.78456,0.00609,0.02166,0.97222,0.51123,0.25417,1.2345,3.597,0.00879,0.000595507,0.000595507,0.000595507
15,196.204,1.46142,2.56435,0.0066,0.02244,1,0.64517,0.31143,1.22984,3.48033,0.00894,0.00063182,0.00063182,0.00063182
16,207.354,1.36353,2.93915,0.0061,0.54936,0.482,0.64546,0.33236,1.17994,3.50402,0.00844,0.000667142,0.000667142,0.000667142
17,218.909,1.46699,2.49475,0.00577,0.61274,0.36111,0.62821,0.33516,1.18834,3.4628,0.00834,0.000701474,0.000701474,0.000701474
18,230.261,1.59066,2.43864,0.00541,0.5771,0.36111,0.56195,0.33341,1.15225,3.38629,0.00808,0.000734815,0.000734815,0.000734815
19,242.499,1.5116,2.58721,0.00583,0.39934,0.70832,0.55769,0.34627,1.08542,3.33714,0.00749,0.000767167,0.000767167,0.000767167
20,254.287,1.50552,2.25626,0.0054,0.02401,1,0.54363,0.33949,1.07708,3.26367,0.00716,0.000798528,0.000798528,0.000798528
21,266.273,1.40599,2.37979,0.00562,0.02263,1,0.56083,0.34816,1.10292,3.1885,0.00747,0.000828899,0.000828899,0.000828899
22,277.876,1.40856,2.27448,0.00551,0.33946,0.84895,0.61268,0.35662,1.15795,3.11988,0.00754,0.00085828,0.00085828,0.00085828
23,288.808,1.39574,2.41475,0.00587,0.7124,0.47222,0.69131,0.39447,1.22165,3.03842,0.00831,0.000886671,0.000886671,0.000886671
24,300.025,1.53554,2.40006,0.00549,0.78689,0.32234,0.73368,0.43452,1.23993,2.94651,0.00886,0.000914071,0.000914071,0.000914071
25,312.751,1.47673,1.9933,0.00574,0.82087,0.30268,0.75223,0.46196,1.23975,2.79306,0.00876,0.000940481,0.000940481,0.000940481
26,324.51,1.52083,1.93327,0.005,0.87161,0.42339,0.752,0.4687,1.27628,2.6643,0.00908,0.000965901,0.000965901,0.000965901
27,335.954,1.61647,2.08534,0.00602,0.82613,0.46035,0.73344,0.4583,1.23718,2.62766,0.00929,0.000990331,0.000990331,0.000990331
28,347.351,1.50841,2.1215,0.0058,0.85989,0.5,0.73783,0.43773,1.38401,2.68524,0.00995,0.00101377,0.00101377,0.00101377
29,358.465,1.55904,2.01748,0.00582,0.85989,0.5,0.73783,0.43773,1.38401,2.68524,0.00995,0.00103622,0.00103622,0.00103622
30,369.969,1.47909,1.97365,0.00576,0.7748,0.42063,0.71497,0.44593,1.34768,2.67359,0.00928,0.00105768,0.00105768,0.00105768
31,382.507,1.50801,1.88706,0.00577,0.80362,0.37345,0.72938,0.47162,1.2651,2.66257,0.009,0.00107815,0.00107815,0.00107815
32,394.327,1.48349,1.97989,0.00559,0.77194,0.3427,0.70282,0.45095,1.34489,2.62428,0.00914,0.00109763,0.00109763,0.00109763
33,405.501,1.5304,1.92513,0.00537,0.77194,0.3427,0.70282,0.45095,1.34489,2.62428,0.00914,0.00111612,0.00111612,0.00111612
34,416.943,1.47754,1.89644,0.00595,0.73589,0.39973,0.69665,0.44027,1.29117,2.57421,0.0091,0.00112239,0.00112239,0.00112239
35,428.733,1.46995,1.91715,0.00591,0.77523,0.49704,0.72094,0.44688,1.29677,2.48555,0.00908,0.00110589,0.00110589,0.00110589
36,439.872,1.50562,1.90146,0.00586,0.79074,0.64529,0.77343,0.46268,1.30166,2.32574,0.00942,0.00108938,0.00108938,0.00108938
37,451.177,1.38871,1.7654,0.00565,0.79074,0.64529,0.77343,0.46268,1.30166,2.32574,0.00942,0.00107288,0.00107288,0.00107288
38,462.971,1.44984,1.72677,0.00515,0.74851,0.6766,0.79823,0.48357,1.41964,2.08665,0.01066,0.00105638,0.00105638,0.00105638
39,474.877,1.54384,1.80096,0.00616,0.71051,0.73309,0.80068,0.46827,1.44501,1.97933,0.01082,0.00103987,0.00103987,0.00103987
40,485.785,1.50367,1.76099,0.00554,0.65866,0.75698,0.80652,0.46918,1.47677,1.9015,0.01188,0.00102337,0.00102337,0.00102337
41,496.93,1.44206,1.82149,0.00592,0.65866,0.75698,0.80652,0.46918,1.47677,1.9015,0.01188,0.00100687,0.00100687,0.00100687
42,508.233,1.5419,1.65264,0.0051,0.69245,0.777,0.83214,0.45164,1.53527,1.84399,0.01317,0.000990365,0.000990365,0.000990365
43,519.645,1.44038,1.61644,0.0054,0.81873,0.74206,0.83559,0.43273,1.5126,1.90611,0.0127,0.000973861,0.000973861,0.000973861
44,530.817,1.40511,1.7743,0.00605,0.88314,0.74206,0.86208,0.45085,1.47383,1.88228,0.01155,0.000957358,0.000957358,0.000957358
45,542.411,1.40504,1.74441,0.00571,0.88314,0.74206,0.86208,0.45085,1.47383,1.88228,0.01155,0.000940855,0.000940855,0.000940855
46,554.08,1.52583,1.68302,0.00524,0.74739,0.77342,0.87376,0.48149,1.44497,1.80539,0.01062,0.000924352,0.000924352,0.000924352
47,565.43,1.5095,1.63721,0.00524,0.81323,0.78571,0.86741,0.50091,1.35736,1.83699,0.00942,0.000907848,0.000907848,0.000907848
